GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS826883006	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	NY	C4	NY		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-10-15	09:00:00	obsr319713	S61366743	Traveling	P22	EBIRD	150	2.500		5	1	G4587295	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS830231857	2023-03-17 19:43:57.377694	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-10-29	11:03:00	obsr650842	S61627281	Traveling	P22	EBIRD	200	5.463		3	1	G4627960	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS822597743	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	NY	C4	NY		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-10-15	09:00:00	obsr142116	S61055079	Traveling	P22	EBIRD	150	2.500		5	1	G4587295	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS816943553	2023-03-17 19:35:53.427677	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL	Unknown Sex, Juvenile (2); Female, Adult (1); Male, Adult (1)	Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Camino Al Volcán, Baños Morales, Región Metropolitana (-33.851, -69.984)	L10036179	P	-33.8512432	-69.9840178	2019-10-15	11:01:00	obsr515325	S60650386	Traveling	P22	EBIRD_AU	120	2.160		6	1	G4684641	0	1	0			Ad M and F with 2 two day old chicks.	
URN:CornellLabOfOrnithology:EBIRD:OBS817043246	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	NY	C4	NY		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-10-15	09:00:00	obsr507929	S60657995	Traveling	P22	EBIRD	150	2.500		5	1	G4587295	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS828152982	2023-03-17 21:32:22.149755	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					(-33.8533,-69.9848)	L10156660	P	-33.8532840	-69.9847940	2019-11-15	11:01:00	obsr1234439	S61469525	Traveling	P22	EBIRD	42	0.471		13	0		1	1	0			Two adults with two chicks.	
URN:CornellLabOfOrnithology:EBIRD:OBS824729143	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-05	13:00:00	obsr236155	S61209134	Traveling	P22	EBIRD	60	2.000		3	1	G4643920	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS830347728	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr279158	S61636190	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS858349588	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				4	FL	C4	FL		Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-13	11:22:00	obsr189093	S63972685	Traveling	P22	EBIRD	113	2.283		15	1	G4685471	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS825316707	2023-03-17 21:32:56.668709	5882	species	avibase-0BFE075B	Diademed Sandpiper-Plover	Phegornis mitchellii				1					Chile	CL	Región Metropolitana de Santiago	CL-RM	San José de Maipo	CL-RM-JOS					Baños Colina	L919221	H	-33.8534795	-69.9808234	2019-11-07	10:15:00	obsr507929	S61252662	Traveling	P22	EBIRD	100	1.000		2	1		1	1	0				
